customer_id,customer_name,age,age_group,gender,location,subscription_status,payment_method,frequency_of_purchases
1001,Allison Hill,56,Senior,Male,New York,No,Bank Transfer,Monthly
1002,Noah Rhodes,69,Senior,Female,Pennsylvania,Yes,Debit Card,Quarterly
1003,Angie Henderson,46,Middle-aged,Female,Ohio,Yes,PayPal,Bi-Weekly
1004,Daniel Wagner,32,Adult,Male,North Carolina,Yes,Cash,Annually
1005,Cristian Santos,60,Senior,Female,Pennsylvania,No,Venmo,Annually
1006,Connie Lawrence,25,Young Adult,Female,Ohio,No,Credit Card,Weekly
1007,Abigail Shaffer,38,Adult,Male,Ohio,No,Bank Transfer,Weekly
1008,Gina Moore,56,Senior,Male,Texas,Yes,PayPal,Bi-Weekly
1009,Gabrielle Davis,36,Adult,Female,Illinois,Yes,PayPal,Annually
1010,Ryan Munoz,40,Adult,Male,Ohio,Yes,Debit Card,Quarterly
1011,Monica Herrera,28,Adult,Male,Texas,Yes,Credit Card,Quarterly
1012,Jamie Arnold,28,Adult,Male,North Carolina,Yes,Cash,Bi-Weekly
1013,Lisa Hensley,41,Middle-aged,Male,Georgia,Yes,Cash,Weekly
1014,Michele Williams,53,Middle-aged,Female,Florida,Yes,Venmo,Quarterly
1015,Dylan Miller,57,Senior,Male,Florida,No,Bank Transfer,Monthly
1016,Brian Ramirez,41,Middle-aged,Male,Illinois,Yes,Venmo,Bi-Weekly
1017,Holly Wood,20,Young Adult,Male,Texas,Yes,Debit Card,Monthly
1018,Derek Zuniga,39,Adult,Male,Georgia,Yes,Credit Card,Monthly
1019,Lisa Jackson,19,Young Adult,Male,New York,No,Cash,Weekly
1020,Carla Gray,41,Middle-aged,Male,North Carolina,Yes,Credit Card,Annually
1021,Margaret Hawkins DDS,61,Senior,Male,Ohio,No,Debit Card,Bi-Weekly
1022,Patty Perez,47,Middle-aged,Female,Ohio,No,Credit Card,Annually
1023,Ethan Adams,55,Middle-aged,Male,North Carolina,Yes,Credit Card,Quarterly
1024,Tommy Walter,19,Young Adult,Male,North Carolina,Yes,Credit Card,Quarterly
1025,Matthew Foster,38,Adult,Female,Texas,No,Debit Card,Bi-Weekly
1026,Judy Baker,50,Middle-aged,Male,Ohio,Yes,Debit Card,Weekly
1027,Justin Baker,29,Adult,Male,Florida,Yes,Debit Card,Quarterly
1028,Stephanie Ross,39,Adult,Female,Illinois,Yes,Cash,Quarterly
1029,Zachary Hicks,61,Senior,Male,Florida,No,PayPal,Annually
1030,Anthony Rodriguez,42,Middle-aged,Male,Pennsylvania,No,Bank Transfer,Quarterly
1031,Rebecca Henderson,66,Senior,Male,California,No,Bank Transfer,Weekly
1032,James Ferrell,44,Middle-aged,Male,Georgia,No,Bank Transfer,Quarterly
1033,Tricia Valencia,59,Senior,Male,Pennsylvania,No,Credit Card,Quarterly
1034,Nathan Maldonado,45,Middle-aged,Female,California,No,Venmo,Monthly
1035,Debra Davidson,33,Adult,Male,North Carolina,Yes,Venmo,Weekly
1036,Jeffrey Chavez,32,Adult,Female,Florida,Yes,PayPal,Quarterly
1037,Sherri Baker,64,Senior,Male,New York,No,Credit Card,Weekly
1038,Cassandra Gaines,68,Senior,Male,Illinois,No,Credit Card,Weekly
1039,Elizabeth Fowler,61,Senior,Female,Ohio,No,Credit Card,Quarterly
1040,Brittany Farmer,69,Senior,Male,Michigan,No,Debit Card,Quarterly
1041,Paula Moreno,20,Young Adult,Male,Michigan,No,Bank Transfer,Weekly
1042,Fred Smith,54,Middle-aged,Female,New York,Yes,Cash,Annually
1043,Sherry Decker,68,Senior,Male,California,Yes,Debit Card,Annually
1044,Anthony Humphrey,24,Young Adult,Male,Florida,Yes,Credit Card,Weekly
1045,Angelica Tucker,38,Adult,Female,Michigan,Yes,PayPal,Weekly
1046,Philip Cannon,26,Adult,Female,North Carolina,Yes,Credit Card,Annually
1047,John Pierce,56,Senior,Female,Florida,Yes,Credit Card,Annually
1048,Shane Henderson,35,Adult,Male,Georgia,Yes,Cash,Monthly
1049,Joshua Blair,21,Young Adult,Female,Florida,No,Credit Card,Annually
1050,Eric Carney,42,Middle-aged,Male,Pennsylvania,Yes,Debit Card,Annually
1051,Jessica Holmes,31,Adult,Male,Illinois,Yes,Venmo,Bi-Weekly
1052,Danny Morgan,67,Senior,Female,New York,Yes,Cash,Quarterly
1053,Crystal Robinson,26,Adult,Female,Florida,Yes,Bank Transfer,Monthly
1054,Mark Perez,43,Middle-aged,Male,Florida,No,Cash,Monthly
1055,Shannon Jones,19,Young Adult,Male,California,No,Cash,Weekly
